PLAYER_NAME,PRIMARY_TEAM,AGE,SEASON,POINTS,CORSI_PCT,TOI_PER_GAME,PPG,XG_PER_GAME
Mikko Koivu,MIN,32,20152016,56,0.570,19.93,0.683,0.242
Filip Forsberg,NSH,21,20152016,64,0.570,19.05,0.780,0.364
Chris Terry,CAR,26,20152016,11,0.500,11.27,0.162,0.116
James van Riemsdyk,TOR,26,20152016,29,0.620,17.76,0.725,0.368
Ryan Spooner,BOS,23,20152016,49,0.570,15.14,0.613,0.176
Johan Larsson,BUF,23,20152016,17,0.490,14.82,0.230,0.160
Michael Grabner,TOR,27,20152016,18,0.420,14.47,0.225,0.182
Kerby Rychel,CBJ,20,20152016,9,0.450,9.51,0.281,0.130
Zack Kassian,EDM,24,20152016,8,0.460,12.45,0.222,0.134
Dominic Moore,NYR,35,20152016,15,0.360,13.30,0.188,0.095
Brendan Gaunce,VAN,21,20152016,1,0.470,12.76,0.050,0.196
Greg McKegg,FLA,23,20152016,2,0.430,8.26,0.133,0.089
Paul Stastny,STL,29,20152016,49,0.540,19.15,0.766,0.240
Brock McGinn,CAR,21,20152016,4,0.440,11.18,0.190,0.099
Nikolay Kulemin,NYI,29,20152016,22,0.430,14.06,0.272,0.143
Jamie McGinn,ANA,27,20152016,39,0.560,14.29,0.464,0.263
Chris Neil,OTT,36,20152016,13,0.500,9.30,0.163,0.105
David Backes,STL,31,20152016,45,0.520,19.23,0.570,0.251
Erik Condra,TBL,29,20152016,11,0.510,10.71,0.204,0.091
Mika Zibanejad,OTT,22,20152016,51,0.520,17.76,0.630,0.272
Nic Petan,WPG,20,20152016,6,0.550,11.75,0.231,0.138
Brock Nelson,NYI,23,20152016,40,0.520,15.80,0.494,0.216
Blake Comeau,COL,29,20152016,36,0.460,17.62,0.444,0.165
Richard Panik,CHI,24,20152016,8,0.510,10.83,0.267,0.135
Shawn Matthias,COL,27,20152016,28,0.480,13.51,0.394,0.174
Brooks Laich,TOR,32,20152016,14,0.420,11.43,0.173,0.119
James Neal,NSH,28,20152016,58,0.600,19.07,0.707,0.310
Brandon Mashinter,CHI,26,20152016,5,0.440,7.49,0.122,0.077
Cedric Paquette,TBL,22,20152016,11,0.450,12.74,0.196,0.092
Zac Rinaldo,BOS,25,20152016,3,0.380,8.30,0.058,0.065
Nathan MacKinnon,COL,20,20152016,52,0.520,18.87,0.722,0.335
Ondrej Palat,TBL,24,20152016,40,0.540,17.92,0.645,0.208
Marko Dano,WPG,20,20152016,10,0.550,12.25,0.294,0.149
J.T. Miller,NYR,22,20152016,43,0.530,15.03,0.524,0.159
Andrew Cogliano,ANA,28,20152016,32,0.480,14.43,0.390,0.168
Matt Duchene,COL,24,20152016,59,0.520,18.59,0.776,0.290
Craig Smith,NSH,26,20152016,37,0.600,15.18,0.451,0.240
Mattias Janmark,DAL,22,20152016,29,0.540,14.17,0.397,0.176
Josh Bailey,NYI,25,20152016,32,0.510,15.85,0.395,0.185
Rick Nash,NYR,31,20152016,36,0.520,16.94,0.600,0.327
Joe Colborne,CGY,25,20152016,44,0.530,15.17,0.603,0.146
R.J. Umberger,PHI,33,20152016,11,0.460,10.16,0.282,0.113
Brayden Schenn,PHI,24,20152016,59,0.600,16.89,0.738,0.352
Cody Eakin,DAL,24,20152016,35,0.480,16.37,0.427,0.187
Nick Foligno,CBJ,27,20152016,37,0.550,16.89,0.514,0.215
Nick Cousins,PHI,22,20152016,11,0.540,10.73,0.306,0.130
Tomas Tatar,DET,24,20152016,45,0.630,14.35,0.556,0.243
Rocco Grimaldi,FLA,22,20152016,5,0.540,11.87,0.250,0.116
Derek Dorsett,VAN,28,20152016,16,0.440,12.59,0.225,0.112
Michael Latta,WSH,24,20152016,7,0.510,8.09,0.163,0.078
Bobby Farnham,NJD,26,20152016,10,0.440,9.31,0.189,0.092
Drew Stafford,WPG,29,20152016,38,0.530,17.86,0.487,0.250
Boyd Gordon,UTA,31,20152016,4,0.340,12.20,0.062,0.067
Justin Fontaine,MIN,27,20152016,16,0.410,11.86,0.267,0.093
Radim Vrbata,VAN,34,20152016,27,0.550,16.05,0.429,0.233
Travis Zajac,NJD,30,20152016,42,0.460,19.86,0.568,0.215
Patrik Berglund,STL,27,20152016,15,0.500,15.49,0.357,0.220
Ryan Kesler,ANA,31,20152016,53,0.510,19.53,0.671,0.322
David Perron,ANA,27,20152016,36,0.570,15.21,0.507,0.230
David Desharnais,MTL,29,20152016,29,0.570,16.00,0.446,0.179
Bryan Little,WPG,27,20152016,42,0.550,19.59,0.737,0.299
Jakub Voracek,PHI,26,20152016,55,0.610,18.59,0.753,0.257
Ryan Strome,NYI,22,20152016,28,0.530,15.66,0.394,0.176
Gabriel Landeskog,COL,22,20152016,53,0.500,18.93,0.707,0.203
Ryan Nugent-Hopkins,EDM,22,20152016,34,0.520,19.06,0.618,0.212
Aleksander Barkov,FLA,20,20152016,59,0.500,19.43,0.894,0.309
Brian Boyle,TBL,30,20152016,20,0.470,12.91,0.263,0.159
Bryan Rust,PIT,23,20152016,11,0.510,12.50,0.268,0.179
Tomas Jurco,DET,22,20152016,6,0.530,9.18,0.136,0.095
William Nylander,TOR,19,20152016,13,0.620,16.34,0.591,0.217
Corban Knight,FLA,25,20152016,7,0.420,9.63,0.350,0.068
Jake Virtanen,VAN,19,20152016,13,0.530,11.56,0.236,0.142
